Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
JXLU5106145,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066G3,ZIMUMTL0083660,EXPRT,ANAM / 16,30567.5,4680,,2-26-2020 10:47:03 AM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
ZCSU8838582,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-C054D2,ZIMUVAN0081375A,EXPRT,ANAM / 16,25052,4000,,2-20-2020 3:48:02 PM,,,,,,,Y,
FSCU8255706,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX795450-AB1,ZIMUORF0965728,EXPRT,ANAM / 16,5771.96,3830,,,,,,,,,N,
BSIU2795285,20GP86,,ZIM,YARD,,FCL,YOK,Y-DLT-C085D2,ZIMUMTL0083533,EXPRT,ANAM / 16,23230,2350,,2-22-2020 6:19:16 PM,,,,,,,Y,
GVCU5326419,40GP96,,ZIM,RAILCAR,,FCL,YOK,R-DTTX743727-AB1,ZIMUMTL0083505,EXPRT,ANAM / 16,26136,4000,,,,,,,,,N,
ZIMU1264286,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX748423-AB1,ZIMUVAN0081288,EXPRT,ANAM / 16,14250,2350,,,,,,,,,N,
ZCSU8869407,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-C054C2,ZIMUMTL0083331B,EXPRT,ANAM / 16,28941,4000,,2-20-2020 4:09:20 PM,,,,,,,Y,
TEMU6752628,40GP96,,ZIM,YARD,,FCL,KHH,Y-DLT-C054B1,ZIMUTRT0106554,EXPRT,ANAM / 16,28248.06,4000,,2-20-2020 3:20:04 PM,,,,,,,Y,
ZCSU6542077,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-K412B1,ZIMUVAN937820,EXPRT,ANAM / 16,9715,4000,,2-20-2020 1:18:54 AM,,,,,,,Y,
GAOU6094543,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX789506-CT1,ZIMUVAN937865,EXPRT,ANAM / 16,6596,4000,,,,,,,,,N,
GLDU5233048,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX748423-DB2,ZIMUTRT0106567,EXPRT,ANAM / 16,22480,2350,,,,,,,,,N,
FCIU4122054,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX759760-EB1,ZIMUTRT0106567,EXPRT,ANAM / 16,22500,2181.78,,,,,,,,,N,
ZIMU3064353,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX759733-AB1,ZIMUTRT0106567,EXPRT,ANAM / 16,22500,2350,,,,,,,,,N,
TEMU1641200,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX759733-AB2,ZIMUTRT0106567,EXPRT,ANAM / 16,22420,2100,,,,,,,,,N,
ZIMU1091030,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX759760-BB1,ZIMUTRT0106567,EXPRT,ANAM / 16,22580,2258.89,,,,,,,,,N,
JXLU5839203,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086G2,ZIMUMTL0083657,EXPRT,ANAM / 16,28365,4680,,2-26-2020 1:59:55 PM,,,REFRIGERATED CARGO NOS FROZEN,,-18,C,Y,
ZCSU5129670,40RE96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX759793-DB1,ZIMUMTL0083989,EXPRT,ANAM / 16,29996,4840,,,,,,,-18,C,N,
BMOU4563365,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-UCRY57293-AB1,ZIMUORF0963131,EXPRT,ANAM / 16,4963.21,4000,,,,,,,,,N,
BSIU9711141,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751364-AT1,ZIMUORF0963149,EXPRT,ANAM / 16,4893.81,3769.81,,,,,,,,,N,
ZCSU8524046,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX748423-ET1,ZIMUMTL0083487,EXPRT,ANAM / 16,15856,4000,,,,,,,,,N,
SEGU2672045,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-CB1,ZIMUTRT0106257,EXPRT,ANAM / 16,23516,2350,,,,,,,,,N,
ZCSU8913285,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX471689-AB1,ZIMUORF0964239,EXPRT,ANAM / 16,5161.45,4000,,,,,,,,,N,
TRHU2825150,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759733-DB2,ZIMUTRT0106238,EXPRT,ANAM / 16,23516,2267.96,,,,,,,,,N,
GCXU5080980,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-UCRY57293-BT1,ZIMUVAN937831,EXPRT,ANAM / 16,5867,4000,,,,,,,,,N,
TCNU2300194,40GP96,,ZIM,RAILCAR,,FCL,YOK,R-DTTX742923-CT1,ZIMUORF917191,EXPRT,ANAM / 16,14115,3700,,,,,,,,,N,
SZLU9063213,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066G2,ZIMUMTL0083661,EXPRT,ANAM / 16,30637.5,4750,,2-26-2020 10:19:03 AM,,,REFRIGERATED CARGO NOS FROZEN,,-18,C,Y,
ZCSU2654546,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX742923-BT1,ZIMUORF917192,EXPRT,ANAM / 16,8906.29,3700,,,,,,,,,N,
ZIMU3006700,20GP86,,ZIM,YARD,,FCL,SHA,Y-DLT-K423A1,ZIMUVAN937786,EXPRT,ANAM / 16,18716.13,2179.96,,2-18-2020 7:27:32 AM,,,,,,,Y,
ZCSU7108569,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-C054D1,ZIMUVAN0081375A,EXPRT,ANAM / 16,28946,4000,,2-20-2020 3:36:47 PM,,,,,,,Y,
CAIU9011780,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX885184-CT1,ZIMUVAN0081437,EXPRT,ANAM / 16,17924,4000,,,,,,,,,N,
TTNU5360820,40GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX885184-ET1,ZIMUTRT0106723,EXPRT,ANAM / 16,10917.97,3800,,,,,,,,,N,
FSCU8220504,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX451984-AB1,ZIMUVAN937831,EXPRT,ANAM / 16,5726,4000,,,,,,,,,N,
TGBU7212748,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-C054C1,ZIMUMTL0083331B,EXPRT,ANAM / 16,28715,4000,,2-20-2020 3:30:43 PM,,,,,,,Y,
TRHU2608555,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX748423-EB1,ZIMUMTL0083714,EXPRT,ANAM / 16,6900,2267,,,,,,,,,N,
ZIMU1264706,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX748423-EB2,ZIMUMTL904687,EXPRT,ANAM / 16,21847,2220,,,,,,,,,N,
TRHU3224132,20GP86,,ZIM,YARD,,FCL,SHA,Y-DLT-C085B2,ZIMUORF0960432A,EXPRT,ANAM / 16,18717.93,2350,,2-16-2020 5:45:39 AM,,,,,,,Y,
TGBU5496199,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751364-ET1,ZIMUVAN937831,EXPRT,ANAM / 16,5906,4000,,,,,,,,,N,
ZCSU8544340,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-UCRY57293-BB1,ZIMUORF0963136,EXPRT,ANAM / 16,4849.81,4000,,,,,,,,,N,
ZCSU8555664,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751364-AB1,ZIMUVAN937831,EXPRT,ANAM / 16,5422,4000,,,,,,,,,N,
TCNU7395079,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-C054D3,ZIMUVAN0081425,EXPRT,ANAM / 16,23860,4000,,2-20-2020 3:47:37 PM,,,,,,,Y,
ZCSU5109669,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086B2,ZIMUMTL0083647,EXPRT,ANAM / 16,28320,4700,,2-26-2020 9:34:01 AM,,,REFRIGERATED CARGO NOS FROZEN,,-18,C,Y,
ZCSU8732100,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX760774-AT1,ZIMUORF0964820,EXPRT,ANAM / 16,4613.94,3899.99,,,,,,,,,N,
TLLU4452920,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX727018-CB1,ZIMUVAN937831,EXPRT,ANAM / 16,6129,3700,,,,,,,,,N,
ZCSU7004970,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX767565-AT1,ZIMUORF0964025,EXPRT,ANAM / 16,6714.98,4000,,,,,,,,,N,
ZCSU6525716,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX727494-BB1,ZIMUORF0964222,EXPRT,ANAM / 16,4555.88,4000,,,,,,,,,N,
GCXU5075176,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751364-DT1,ZIMUORF0962087,EXPRT,ANAM / 16,6484.63,3699.95,,,,,,,,,N,
UETU5903623,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-C054D4,ZIMUVAN0081375A,EXPRT,ANAM / 16,24852,4000,,2-20-2020 3:35:24 PM,,,,,,,Y,
ZIMU1444190,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX747252-AB2,ZIMUVAN937783,EXPRT,ANAM / 16,17340.82,2259.8,,,,,,,,,N,
ZMOU8840008,40RE96,,ZIM,YARD,,FCL,SHA,Y-DLT-B066F2,ZIMUMTL0083011,EXPRT,ANAM / 16,30495.62,4700,,2-26-2020 10:15:39 AM,,,GDSM  GENERAL DEPARTMENT STORE MERCHANDISE,,-18,C,Y,
DFSU2482672,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX748423-DB1,ZIMUTRT0106240,EXPRT,ANAM / 16,23496,2350,,,,,,,,,N,
ZCSU8887252,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-D022F1,ZIMUVAN0081375A,EXPRT,ANAM / 16,25052,3900,,2-21-2020 1:24:24 AM,,,,,,,Y,
ZCSU5770869,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066G4,ZIMUMTL0083659,EXPRT,ANAM / 16,30587,4000,,2-26-2020 11:48:56 AM,,,REFRIGERATED CARGO NOS FROZEN,,-18,C,Y,
TRHU3380808,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-EB2,ZIMUTRT0106235,EXPRT,ANAM / 16,23516,2267,,,,,,,,,N,
TCKU3956520,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-DB2,ZIMUTRT0106235,EXPRT,ANAM / 16,23516,2267.96,,,,,,,,,N,
ZIMU2860973,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-DB1,ZIMUTRT0106235,EXPRT,ANAM / 16,23556,2267.96,,,,,,,,,N,
ZCSU8669498,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-C054C3,ZIMUVAN937826,EXPRT,ANAM / 16,30267,3900.89,,2-20-2020 3:27:32 PM,,,,,,,Y,
TCNU8721288,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-D022E4,ZIMUVAN0081375A,EXPRT,ANAM / 16,29016,3900,,2-20-2020 4:20:34 PM,,,,,,,Y,
BSIU2801388,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759733-DB1,ZIMUTRT0106239,EXPRT,ANAM / 16,23466,2350,,,,,,,,,N,
FCIU4122075,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX748423-BB2,ZIMUMTL0083179,EXPRT,ANAM / 16,22830,2200,,,,,,,,,N,
ZCSU5129639,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086B1,ZIMUMTL0083702,EXPRT,ANAM / 16,28480,4840,,2-26-2020 8:52:35 AM,,,"PORK, FROZEN",,-18,C,Y,
JXLU5844391,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066C3,ZIMUMTL0083699,EXPRT,ANAM / 16,30503,4680,,2-26-2020 10:45:04 AM,,,"PORK, FROZEN",,-18,C,Y,
TEMU6771850,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-D022E1,ZIMUVAN0081375A,EXPRT,ANAM / 16,29006,3890,,2-20-2020 3:23:20 PM,,,,,,,Y,
ZCSU7012873,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-J412C2,ZIMUVAN0081375A,EXPRT,ANAM / 16,25052,3900,,2-20-2020 3:34:16 PM,,,,,,,Y,
BMOU2627012,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX759760-BB2,ZIMUMTL0083233,EXPRT,ANAM / 16,22710,2267.96,,,,,,,,,N,
TEMU1885377,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX759760-CB2,ZIMUMTL0083233,EXPRT,ANAM / 16,23260,2350,,,,,,,,,N,
TGCU2079678,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX748423-BB1,ZIMUMTL0083233,EXPRT,ANAM / 16,22610,2267.96,,,,,,,,,N,
ZIMU1144402,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX748423-AB2,ZIMUMTL0083233,EXPRT,ANAM / 16,21640,2350,,,,,,,,,N,
ZIMU1326372,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-AB1,ZIMUTRT0106237,EXPRT,ANAM / 16,23596,2350,,,,,,,,,N,
ZIMU3062258,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX748423-CB1,ZIMUMTL0083233,EXPRT,ANAM / 16,22230,2350,,,,,,,,,N,
TCNU8936054,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX788653-CB1,ZIMUORF0963761,EXPRT,ANAM / 16,8417.83,3899.99,,,,,,,,,N,
ZIMU2923114,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125G2,ZIMUTRT0106702,EXPRT,ANAM / 16,22640,2350,,2-24-2020 5:11:40 AM,,,,,,,Y,
TRHU1393004,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125G1,ZIMUTRT0106702,EXPRT,ANAM / 16,22560,2350,,2-24-2020 3:48:12 AM,,,,,,,Y,
ZIMU3062664,20GP86,,ZIM,YARD,,FCL,SHA,Y-DLT-C085C1,ZIMUORF0960985,EXPRT,ANAM / 16,18763.29,2350,,2-26-2020 12:50:09 PM,,,,,,,Y,
ZIMU1038360,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759733-EB1,ZIMUMTL904763,EXPRT,ANAM / 16,11442,2350,,,,,,,,,N,
CAIU5471392,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066G1,ZIMUMTL0083700,EXPRT,ANAM / 16,30436,4640,,2-26-2020 10:03:18 AM,,,"PORK, FROZEN",,-18,C,Y,
TCKU2026129,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760774-EB2,ZIMUCHI902812,EXPRT,ANAM / 16,7209.64,2350,,,,,,,,,N,
ZCSU6538689,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787698-AB1,ZIMUORF0964311,EXPRT,ANAM / 16,4615.36,4000,,,,,,,,,N,
