Vessel,,,,Truck,Reefer,Truck**,Rail*,,,,
"",Vessel name,Line,Service,,,,,ETA,STRT,ETD,Finish
Code,,,,ERD,ERD,Cutoff,Freetime,,,,
ZNIN61,ZIM NINGBO v. 61,ZIM,ZP9,Wed-11-Mar 08:00,11-Mar,13-Mar 16:00,07-Mar,Sat-14-Mar,COMPLETE,16-Mar,01:00
BATH05,BALTIC SOUTH v. 05,ONE,PN4,Tue-10-Mar 08:00,10-Mar,12-Mar 23:00,07-Mar,Mon-16-Mar,COMPLETE,17-Mar,08:00
OOSF147,OOCL SAN FRANCISCO v. 147,OCL,PNW4,Wed-11-Mar 08:00,11-Mar,13-Mar 16:00,09-Mar,Tue-17-Mar,COMPLETE,19-Mar,16:30
OCOS073,ONE COSMOS v. 073,ONE,PN1,Fri-13-Mar 08:00,13-Mar,16-Mar 16:00,10-Mar,Tue-17-Mar,COMPLETE,20-Mar,08:00
BALT07,BALTIC NORTH v. 07,ONE,PN4,Mon-16-Mar 08:00,16-Mar,16-Mar 16:00,10-Mar,Wed-18-Mar,COMPLETE,19-Mar,08:00
MROM12,MSC ROMANE v. 06 / 12,MSC,CFNX,Mon-16-Mar 08:00,16-Mar,18-Mar 16:00,12-Mar,Thu-19-Mar,COMPLETE,20-Mar,16:30
CCRY011,CONTI CRYSTAL v. 0115,YML,PN2,Mon-16-Mar 08:00,16-Mar,18-Mar 16:00,07-Mar,Fri-20-Mar,COMPLETE,22-Mar,01:00
ABOS302,APL BOSTON v. 301 / 302,APL,PNW1,N/A,N/A,,,Sat-21-Mar,COMPLETE,21-Mar,16:30
OCOM46,ONE COMMITMENT v. 46,ONE,PN1,Fri-20-Mar 08:00,20-Mar,23-Mar 16:00,17-Mar,Tue-24-Mar,08:00,26-Mar,16:30
TEXA204,TEXAS TRADER v. 204,ONE,PN4,Thu-19-Mar 08:00,19-Mar,23-Mar 16:00,17-Mar,Wed-25-Mar,08:00,26-Mar,16:30
OOVA114,OOCL VANCOUVER v. 114,OCL,PNW4,Wed-18-Mar 08:00,18-Mar,23-Mar 23:00,16-Mar,Wed-25-Mar,08:00,28-Mar,01:00
SARA13,MSC SARA ELENA v. 07 / 13,MSC,CFNX,Mon-23-Mar 08:00,23-Mar,25-Mar 16:00,19-Mar,Thu-26-Mar,16:30,27-Mar,16:30
ADRM12,ADRIAN MAERSK v. 09 / 12,MSK,ZP9,Tue-24-Mar 08:00,24-Mar,25-Mar 23:00,14-Mar,Fri-27-Mar,01:00,28-Mar,08:00
YUBI45,YM UBIQUITY v. 45,YML,PN2,Tue-24-Mar 08:00,24-Mar,26-Mar 23:00,16-Mar,Sat-28-Mar,01:00,30-Mar,16:30
OOKG107,OOCL KAOHSIUNG v. 107,OCL,PNW4,Wed-25-Mar 17:00,25-Mar,27-Mar 23:00,23-Mar,Mon-30-Mar,16:30,02-Apr,01:00
NDIA82,NYK DIANA v. 82,ONE,PN4,Fri-27-Mar 08:00,27-Mar,30-Mar 16:00,24-Mar,Tue-31-Mar,16:30,01-Apr,16:30
MSAR15,MAERSK SARNIA v. 12 / 15,MSK,ZP9,Fri-27-Mar 08:00,27-Mar,30-Mar 23:00,21-Mar,Wed-01-Apr,01:00,02-Apr,08:00
YUTS86,YM UTMOST v. 86,YML,PN3,Fri-27-Mar 08:00,27-Mar,31-Mar 23:00,20-Mar,Thu-02-Apr,01:00,05-Apr,01:00
MELI14,MSC MELINE v. 08 / 14,MSC,CFNX,Mon-30-Mar 08:00,30-Mar,01-Apr 16:00,26-Mar,Thu-02-Apr,16:30,03-Apr,16:30
SBRI37,SEASPAN BRILLIANCE v. 37,ONE,PN2,Mon-30-Mar 17:00,30-Mar,01-Apr 16:00,26-Mar,Thu-02-Apr,16:30,05-Apr,08:00
ZCHO58,ZIM CHICAGO v. 58,ZIM,ZP9,Wed-01-Apr 08:00,01-Apr,03-Apr 16:00,28-Mar,Sat-04-Apr,16:30,06-Apr,01:00
OANT107,OOCL ANTWERP v. 107,OCL,PNW4,Wed-01-Apr 17:00,01-Apr,03-Apr 23:00,30-Mar,Mon-06-Apr,16:30,09-Apr,01:00
MCEL76,MOL CELEBRATION v. 76,ONE,PN1,Fri-03-Apr 08:00,03-Apr,06-Apr 16:00,31-Mar,Tue-07-Apr,08:00,09-Apr,16:30
Vessel,,,,Truck,Reefer,Truck**,Rail*,,,,
"",Vessel name,Line,Service,,,,,ETA,STRT,ETD,Finish
Code,,,,ERD,ERD,Cutoff,Freetime,,,,
BABR137,BAY BRIDGE v. 137,ONE,PN4,Thu-02-Apr 17:00,02-Apr,06-Apr 16:00,31-Mar,Tue-07-Apr,16:30,08-Apr,16:30
YUNI46,YM UNIFORMITY v. 46,YML,PN2,Mon-06-Apr 08:00,06-Apr,07-Apr 23:00,28-Mar,Thu-09-Apr,01:00,11-Apr,01:00
MALG15,MSC ALGECIRAS v. 09 / 15,MSC,CFNX,Mon-06-Apr 08:00,06-Apr,08-Apr 16:00,02-Apr,Thu-09-Apr,16:30,10-Apr,16:30
YULT82,YM ULTIMATE v. 82,YML,PN3,Tue-07-Apr 08:00,07-Apr,09-Apr 16:00,03-Apr,Fri-10-Apr,08:00,13-Apr,08:00
SBRE32,SEASPAN BREEZE v. 32,ONE,PN2,Wed-08-Apr 08:00,08-Apr,10-Apr 16:00,04-Apr,Sat-11-Apr,08:00,13-Apr,08:00
NJAS10,NORTHERN JASPER v. 10,ZIM,ZP9,Wed-08-Apr 08:00,08-Apr,10-Apr 16:00,04-Apr,Sat-11-Apr,08:00,13-Apr,01:00
OONY68,OOCL NEW YORK v. 68,OCL,PNW4,Wed-08-Apr 17:00,08-Apr,10-Apr 23:00,06-Apr,Mon-13-Apr,16:30,16-Apr,01:00
CORD101,CONTI CORDOBA v. 101,ONE,PN4,Thu-09-Apr 17:00,09-Apr,13-Apr 16:00,07-Apr,Tue-14-Apr,16:30,15-Apr,16:30
MAZU16,MSC ANZU v. 10 / 16,MSC,CFNX,Mon-13-Apr 08:00,13-Apr,15-Apr 16:00,09-Apr,Thu-16-Apr,16:30,17-Apr,16:30
HMAR20,HYUNDAI MARS v. 20,HMM,PN3,Tue-14-Apr 08:00,14-Apr,16-Apr 16:00,10-Apr,Fri-17-Apr,08:00,20-Apr,08:00
ANAM16,ANNA MAERSK v. 13 / 16,MSK,ZP9,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,11-Apr,Sat-18-Apr,08:00,20-Apr,01:00
YMUP43,YM UPSURGENCE v. 43,YML,PN2,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,11-Apr,Sat-18-Apr,08:00,21-Apr,08:00
OOAK92,OOCL OAKLAND v. 92,OCL,PNW4,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,13-Apr,Mon-20-Apr,16:30,23-Apr,01:00
WIDE101,WIDE CHARLIE v. 101,MSK,PN1,Fri-24-Apr 08:00,24-Apr,27-Apr 16:00,14-Apr,Tue-21-Apr,08:00,23-Apr,08:00
MCOM72,ONE COMPETENCE v. 72,ONE,PN1,Fri-17-Apr 08:00,17-Apr,20-Apr 16:00,14-Apr,Tue-21-Apr,08:00,23-Apr,08:00
MEXP38,MOL EXPLORER v. 38,ONE,PN4,Thu-16-Apr 17:00,16-Apr,20-Apr 16:00,14-Apr,Tue-21-Apr,16:30,22-Apr,16:30
