Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,A,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8715715,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660414,ZIMUORF0962701,EXPRT,ANAM / 09,28900,3900,,3-4-2020 8:59:28 AM,,,CUT GREENS,,,,N,,,,,,,,,ZCSU871571,,,,,,,,,,,,,,,,
ZCSU8730392,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101284,ZIMUVAN0081609,EXPRT,ANAM / 09,26099,3900,,3-4-2020 9:01:10 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZMOU8840008,40RE96,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-660310,ZIMUMTL0083011,EXPRT,ANAM / 09,30495.62,4700,,2-26-2020 10:15:39 AM,,,GDSM  GENERAL DEPARTMENT STORE MERCHANDISE,,-18,C,N,,,,,,,,,ZMOU884000,,,,,,,,,,,,,,,,
TCNU8538087,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101282,ZIMUVAN0081496,EXPRT,ANAM / 09,26630,3900,,3-4-2020 9:22:46 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU6542483,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220808,ZIMUVAN0081645,EXPRT,ANAM / 09,27995,3730,,3-4-2020 9:23:28 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8682334,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220806,ZIMUVAN0081645,EXPRT,ANAM / 09,28155,3900,,3-4-2020 9:32:13 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TEMU6796230,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301016,ZIMUVAN0081199,EXPRT,ANAM / 09,29420,4000,,3-4-2020 5:36:55 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
FSCU8227242,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300506,ZIMUVAN937924,EXPRT,ANAM / 09,30477,4000,,3-1-2020 4:01:35 PM,,,,,,,N,,,,,,,,,FSCU822724,,,,,,,,,,,,,,,,
FCIU4242764,20GP86,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-211008,SSPHMTL0084061,EXPRT,ANAM / 09,29413,2180,,3-4-2020 5:49:20 PM,,,"LENTILS, BULK",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU9780201,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660488,ZIMUORF0962701,EXPRT,ANAM / 09,29044,4000,,3-4-2020 5:51:26 PM,,,CUT GREENS,,,,N,,,,,,,,,TCNU978020,,,,,,,,,,,,,,,,
ZCSU8887252,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460216,ZIMUVAN0081375A,EXPRT,ANAM / 09,25052,3900,,2-21-2020 1:24:24 AM,,,,,,,N,,,,,,,,,ZCSU888725,,,,,,,,,,,,,,,,
CAIU6353666,20GP86,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-211010,ZIMUMTL0083249,EXPRT,ANAM / 09,29770,2150,,3-4-2020 5:57:11 PM,,,"LENTILS, BULK",,,,N,,,,,,,,,CAIU635366,,,,,,,,,,,,,,,,
TRHU2679348,20GP86,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-231012,SSPHMTL0084061,EXPRT,ANAM / 09,28562,2180,,3-4-2020 5:54:18 PM,,,"LENTILS, BULK",,,,N,,,,,,,,,TRHU267934,,,,,,,,,,,,,,,,
ZCSU7189909,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500016,ZIMUVAN0081606,EXPRT,ANAM / 09,26107,3700,,3-4-2020 9:28:23 AM,,,LUMBER,,,,N,,,,,,,,,ZCSU718990,,,,,,,,,,,,,,,,
ZCSU8667392,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301012,ZIMUVAN0081199,EXPRT,ANAM / 09,29390,3900,,3-4-2020 5:39:52 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU7189724,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101388,ZIMUVAN0081606,EXPRT,ANAM / 09,24828,3700,,3-4-2020 9:24:13 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCKU6642570,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100988,ZIMUVAN0081608,EXPRT,ANAM / 09,25188,3700,,3-4-2020 8:43:35 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU8767951,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580208,SSPHVAN0081388,EXPRT,ANAM / 09,27821,3810,,3-4-2020 9:36:58 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8650804,40GP96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-221414,SSPHVAN0081598,EXPRT,ANAM / 09,28668,3900,,3-4-2020 8:54:44 AM,,,PAPER AND PAPERBOARD,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
CRSU9069581,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101084,ZIMUVAN0081609,EXPRT,ANAM / 09,25822,3900,,3-4-2020 9:03:22 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5850985,40RE96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-380186,ZIMUVAN0081689,EXPRT,ANAM / 09,29680,4680,,3-4-2020 11:15:51 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,ZCSU585098,,,,,,,,,,,,,,,,
ZCSU5123857,40RE96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-380086,ZIMUVAN0081688,EXPRT,ANAM / 09,30800.25,4700,,3-4-2020 10:56:30 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5117725,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500384,ZIMUHFX0024800,EXPRT,ANAM / 09,25941,4680,,3-6-2020 2:34:27 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
JXLU5820580,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500184,ZIMUHFX0024800,EXPRT,ANAM / 09,25941,4680,,3-5-2020 9:38:00 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
SZLU9062407,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500008,ZIMUHFX0024800,EXPRT,ANAM / 09,26011,4750,,3-5-2020 1:24:09 PM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,SZLU906240,,,,,,,,,,,,,,,,
ZCSU5865028,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500006,ZIMUHFX0024800,EXPRT,ANAM / 09,25921,4660,,3-5-2020 1:56:31 PM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5103568,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500208,ZIMUHFX0024800,EXPRT,ANAM / 09,25941,4680,,3-5-2020 10:45:55 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZMOU8870851,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500084,ZIMUHFX0024874,EXPRT,ANAM / 09,25591,4230,,3-5-2020 9:26:30 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
TRLU1711042,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500004,ZIMUHFX0024874,EXPRT,ANAM / 09,25851,4590,,3-5-2020 1:49:25 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5174598,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500108,ZIMUHFX0024874,EXPRT,ANAM / 09,25881,4620,,3-6-2020 3:04:49 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5174807,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500082,ZIMUHFX0024874,EXPRT,ANAM / 09,25881,4620,,3-6-2020 3:32:02 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,ZCSU517480,,,,,,,,,,,,,,,,
ZCSU5109191,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500186,ZIMUHFX0024874,EXPRT,ANAM / 09,25941,4680,,3-5-2020 9:11:08 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5110989,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500206,ZIMUHFX0024874,EXPRT,ANAM / 09,25941,4680,,3-5-2020 10:47:50 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,ZCSU511098,,,,,,,,,,,,,,,,
FSCU8092300,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101014,ZIMUVAN0081168,EXPRT,ANAM / 09,25260,3830,,3-4-2020 12:41:22 PM,,,LUMBER,,,,N,,,,,,,,,FSCU809230,,,,,,,,,,,,,,,,
ZCSU8569800,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580406,SSPHVAN0081388,EXPRT,ANAM / 09,27870,3860,,3-4-2020 12:43:34 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU2607982,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580386,ZIMUVAN0081194,EXPRT,ANAM / 09,29796,3700,,3-4-2020 12:48:59 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,TCNU260798,,,,,,,,,,,,,,,,
TCNU2765490,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580410,SSPHVAN0081388,EXPRT,ANAM / 09,27711,3700,,3-4-2020 9:51:03 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
DFOU8037453,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101182,ZIMUVAN0081169,EXPRT,ANAM / 09,29400,3800,,3-4-2020 10:18:48 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
DRYU9671656,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101588,ZIMUVAN0081606,EXPRT,ANAM / 09,23925,3820,,3-4-2020 9:33:44 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5770869,40RE96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-380482,ZIMUMTL0083659,EXPRT,ANAM / 09,30587,4000,,2-26-2020 11:48:56 AM,,,CUTTLEFISH FROZEN DRIED OR SALTED,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8823319,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580412,SSPHVAN0081388,EXPRT,ANAM / 09,27911,3900,,3-4-2020 9:45:11 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8930410,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100982,ZIMUVAN0081169,EXPRT,ANAM / 09,28934,3900,,3-4-2020 10:17:07 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8741587,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101382,ZIMUVAN0081587,EXPRT,ANAM / 09,25775,3900,,3-4-2020 10:20:17 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TLLU5314320,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660788,ZIMUORF0962701,EXPRT,ANAM / 09,29040,3810,,3-4-2020 9:52:07 AM,,,CUT GREENS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU7166729,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580408,SSPHVAN0081388,EXPRT,ANAM / 09,27711,3700,,3-4-2020 10:04:59 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5118001,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500484,ZIMUHFX0024800,EXPRT,ANAM / 09,25941,4680,,3-4-2020 10:41:56 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,ZCSU511800,,,,,,,,,,,,,,,,
BSIU9767639,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500088,ZIMUVAN937825,EXPRT,ANAM / 09,24306,4000,,3-1-2020 4:51:04 PM,,,,,,,N,,,,,,,,,BSIU976763,,,,,,,,,,,,,,,,
TGHU9718491,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580404,SSPHVAN0081388,EXPRT,ANAM / 09,27830,4000,,3-4-2020 12:44:49 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU8545511,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580402,SSPHVAN0081388,EXPRT,ANAM / 09,27911,3900,,3-4-2020 12:53:16 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,TCNU854551,,,,,,,,,,,,,,,,
ZCSU7148160,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100814,ZIMUVAN0081607,EXPRT,ANAM / 09,26791,3700,,3-4-2020 12:53:35 PM,,,LUMBER,,,,N,,,,,,,,,ZCSU714816,,,,,,,,,,,,,,,,
SEGU5194248,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100616,ZIMUVAN0081607,EXPRT,ANAM / 09,27205,3830,,3-4-2020 12:58:56 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TGBU7204589,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100984,ZIMUVAN0081169,EXPRT,ANAM / 09,28734,3700,,3-4-2020 10:09:25 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TLLU5929664,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101184,ZIMUVAN0081168,EXPRT,ANAM / 09,26145,3700,,3-4-2020 10:13:25 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
BSIU9540861,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101384,ZIMUVAN0081586,EXPRT,ANAM / 09,25560,3790,,3-4-2020 10:16:18 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU4563780,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100812,ZIMUVAN0081169,EXPRT,ANAM / 09,28575,3900,,3-4-2020 12:56:33 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU6522677,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300616,ZIMUVAN0081169,EXPRT,ANAM / 09,27882,3700,,3-4-2020 1:11:44 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8664120,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660588,ZIMUORF0962701,EXPRT,ANAM / 09,29104,3900,,3-4-2020 1:05:05 PM,,,CUT GREENS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
FCIU8640278,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100610,ZIMUVAN0081168,EXPRT,ANAM / 09,25280,3900,,3-4-2020 1:03:55 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU5353372,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300614,ZIMUVAN0081169,EXPRT,ANAM / 09,29316,3900,,3-4-2020 1:13:59 PM,,,LUMBER,,,,N,,,,,,,,,TCNU535337,,,,,,,,,,,,,,,,
ZCSU7006593,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101288,ZIMUVAN0081500,EXPRT,ANAM / 09,23400,3900,,3-4-2020 10:36:30 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5846394,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500382,ZIMUVAN0081759,EXPRT,ANAM / 09,31850,4680,,3-4-2020 11:35:01 AM,,,"PORK, FROZEN",,-23,C,N,,,,,,,,,ZCSU584639,,,,,,,,,,,,,,,,
TCNU4263994,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100514,ZIMUVAN0081169,EXPRT,ANAM / 09,29747,3900,,3-4-2020 10:40:10 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8520009,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100614,ZIMUVAN0081676,EXPRT,ANAM / 09,26425,3920,,3-4-2020 1:00:16 PM,,,LUMBER,,,,N,,,,,,,,,ZCSU852000,,,,,,,,,,,,,,,,
ZCSU8254634,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100612,ZIMUVAN0081585,EXPRT,ANAM / 09,25885,3890,,3-4-2020 1:02:02 PM,,,LUMBER,,,,N,,,,,,,,,ZCSU825463,,,,,,,,,,,,,,,,
TCNU5416892,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300808,ZIMUVAN0081169,EXPRT,ANAM / 09,29440,3840,,3-4-2020 1:07:53 PM,,,LUMBER,,,,N,,,,,,,,,TCNU541689,,,,,,,,,,,,,,,,
BSIU9419340,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100816,ZIMUVAN0081677,EXPRT,ANAM / 09,26895,3770,,3-4-2020 12:50:49 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8669498,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300508,ZIMUVAN937826,EXPRT,ANAM / 09,30267,3900.89,,2-20-2020 3:27:32 PM,,,,,,,N,,,,,,,,,ZCSU866949,,,,,,,,,,,,,,,,
FCIU8641525,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500416,ZIMUVAN0081585,EXPRT,ANAM / 09,24830,3900,,3-4-2020 1:01:54 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5109355,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500412,ZIMUVAN0081759,EXPRT,ANAM / 09,31850,4680,,3-4-2020 11:36:45 AM,,,"PORK, FROZEN",,-23,C,N,,,,,,,,,ZCSU510935,,,,,,,,,,,,,,,,
GAOU6450475,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220616,ZIMUVAN0081194,EXPRT,ANAM / 09,30056,3700,,3-4-2020 10:52:59 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
FSCU8227520,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100512,ZIMUVAN0081609,EXPRT,ANAM / 09,26413,3830,,3-4-2020 10:54:54 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TGCU0150822,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101488,ZIMUVAN0081606,EXPRT,ANAM / 09,23926.78,3770,,3-4-2020 11:00:42 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
FSCU8162542,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300606,ZIMUVAN0081586,EXPRT,ANAM / 09,24545,3830,,3-4-2020 10:05:03 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
CAIU5471216,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660682,ZIMUMTL0084160,EXPRT,ANAM / 09,31640,4640,,3-4-2020 11:10:36 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU8721288,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460012,ZIMUVAN0081375A,EXPRT,ANAM / 09,29016,3900,,2-20-2020 4:20:34 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU5644465,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580484,ZIMUVAN0081194,EXPRT,ANAM / 09,30063,3900,,3-4-2020 12:48:33 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,TCNU564446,,,,,,,,,,,,,,,,
JXLU5104775,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500012,ZIMUVAN0081759,EXPRT,ANAM / 09,31850,4680,,3-5-2020 12:57:51 PM,,,"PORK, FROZEN",,-23,C,N,,,,,,,,,JXLU510477,,,,,,,,,,,,,,,,
JXLU5105576,40RE96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-660208,ZIMUMTL0083751,EXPRT,ANAM / 09,33985,4680,,3-4-2020 10:33:57 AM,,,CUT GREENS,,-18,C,N,,,,,,,,,JXLU510557,,,,,,,,,,,,,,,,
FCIU8875014,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101584,ZIMUVAN0081587,EXPRT,ANAM / 09,25775,3900,,3-4-2020 10:34:31 AM,,,LUMBER,,,,N,,,,,,,,,FCIU887501,,,,,,,,,,,,,,,,
ZCSU8626074,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101582,ZIMUVAN0081587,EXPRT,ANAM / 09,25725,3900,,3-4-2020 10:37:29 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCKU6020134,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300806,ZIMUVAN0081676,EXPRT,ANAM / 09,25899,3730,,3-4-2020 1:09:06 PM,,,LUMBER,,,,N,,,,,,,,,TCKU602013,,,,,,,,,,,,,,,,
TCNU1755286,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660388,ZIMUORF0962701,EXPRT,ANAM / 09,28904,3700,,3-4-2020 1:42:08 PM,,,CUT GREENS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU2726636,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580488,ZIMUVAN0081194,EXPRT,ANAM / 09,30054,3700,,3-4-2020 1:45:52 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
JXLU5104902,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660484,ZIMUVAN937918,EXPRT,ANAM / 09,32760,4680,,3-4-2020 11:31:49 AM,,,FROZEN POULTRY,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
GCXU5006468,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301410,ZIMUVAN0081199,EXPRT,ANAM / 09,28605,3700,,3-4-2020 1:48:09 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
BEAU5338127,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301214,ZIMUVAN0081199,EXPRT,ANAM / 09,29185,3700,,3-4-2020 2:00:43 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
DRYU9141872,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181588,ZIMUVAN937842,EXPRT,ANAM / 09,8444,4000,,2-22-2020 1:28:38 AM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMU1313800,20GP86,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-110002,ZIMUMTL0084252,EXPRT,ANAM / 09,29232,2260,,3-5-2020 9:01:15 AM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU8550040,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101186,ZIMUVAN0081609,EXPRT,ANAM / 09,25899,3900,,3-4-2020 10:02:06 AM,,,LUMBER,,,,N,,,,,,,,,TCNU855004,,,,,,,,,,,,,,,,
ZCSU5845464,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500086,ZIMUHFX0024799,EXPRT,ANAM / 09,25941,4680,,3-5-2020 9:03:12 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
